"customer";"address"
"aho";"https://aho.brage.unit.no/aho-xmlui/bitstream/handle/"
"banenor";"https://banenor.brage.unit.no/banenor-xmlui/bitstream/handle/"
"bi";"https://biopen.bi.no/bi-xmlui/bitstream/handle/"
"bora";"https://bora.uib.no/bora-xmlui/bitstream/handle/"
"cicero";"https://pub.cicero.oslo.no/cicero-xmlui/bitstream/handle/"
"cmi";"https://open.cmi.no/cmi-xmlui/bitstream/handle/"
"dmmh";"https://open.dmmh.no/dmmh-xmlui/bitstream/handle/"
"fafo";"https://fafo.brage.unit.no/fafo-xmlui/bitstream/handle/"
"fdir";"https://fdir.brage.unit.no/fdir-xmlui/bitstream/handle/"
"fhi";"https://fhi.brage.unit.no/fhi-xmlui/bitstream/handle/"
"fhs"; "https://fhs.brage.unit.no/fhs-xmlui/bitstream/handle/"
"fni";"https://fni.brage.unit.no/fni-xmlui/bitstream/handle/"
"himolde";"https://himolde.brage.unit.no/himolde-xmlui/bitstream/handle/"
"hiof";"https://hiof.brage.unit.no/hiof-xmlui/bitstream/handle/"
"hivolda";"https://bravo.hivolda.no/hivolda-xmlui/bitstream/handle/"
"hvlopen";"https://hvlopen.brage.unit.no/hvlopen-xmlui/bitstream/handle/"
"ife";"https://ife.brage.unit.no/ife-xmlui/bitstream/handle/"
"imr";"https://imr.brage.unit.no/imr-xmlui/bitstream/handle/"
"inn";"https://brage.inn.no/inn-xmlui/bitstream/handle/"
"khio";"https://khioda.khio.no/khio-xmlui/bitstream/handle/"
"kristiania";"https://kristiania.brage.unit.no/kristiania-xmlui"
"krus";"https://krus.brage.unit.no/krus-xmlui/bitstream/handle/"
"ldh";"https://ldh.brage.unit.no/ldh-xmlui/bitstream/handle/"
"mf";"https://mfopen.mf.no/mf-xmlui/bitstream/handle/"
"nb";"https://nb.brage.unit.no/nb-xmlui/bitstream/handle/"
"nforsk";"https://nforsk.brage.unit.no/nforsk-xmlui/bitstream/handle/"
"ngi";"https://ngi.brage.unit.no/ngi-xmlui/bitstream/handle/"
"ngu";"https://openarchive.ngu.no/ngu-xmlui/bitstream/handle/"
"nhh";"https://openaccess.nhh.no/nhh-xmlui/bitstream/handle/"
"nibio";"https://nibio.brage.unit.no/nibio-xmlui/bitstream/handle/"
"nifu";"https://nifu.brage.unit.no/nifu-xmlui/bitstream/handle/"
"nih";"https://nih.brage.unit.no/nih-xmlui/bitstream/handle/"
"niku";"https://niku.brage.unit.no/niku-xmlui/bitstream/handle/"
"nilu";"https://nilu.brage.unit.no/nilu-xmlui/bitstream/handle/"
"nina";"https://brage.nina.no/nina-xmlui/bitstream/handle/"
"ntnu";"https://ntnuopen.ntnu.no/ntnu-xmlui/bitstream/handle/"
