"Print ISSN";"Online ISSN";"Tidsskrift id";"Original tittel";"Internasjonal tittel"
"0332-9062";"1500-7596";"340588";"Forsvarets Forum";"Forsvarets Forum"
"0143-2095";"1097-0266";"340591";"Strategic Management Journal";"Strategic Management Journal"
"1053-2498";"1557-3117";"340592";"The Journal of Heart and Lung Transplantation";"The Journal of Heart and Lung Transplantation"
"0261-0183";"1461-703X";"340594";"Critical Social Policy";"Critical Social Policy"
"0021-8863";"1552-6879";"340595";"Journal of Applied Behavioral Science";"Journal of Applied Behavioral Science"
"0735-7044";"1939-0084";"340596";"Behavioral Neuroscience";"Behavioral Neuroscience"
"0960-7722";"1365-2184";"340599";"Cell Proliferation";"Cell Proliferation"
"0803-6926";"0806-3702";"340600";"Apollon : Forskningsmagasin for Universitetet i Oslo";"Apollon : Forskningsmagasin for Universitetet i Oslo"
"0804-4643";"1479-683X";"340601";"European Journal of Endocrinology (EJE)";"European Journal of Endocrinology (EJE)"
"0024-3930";;"340602";"Linguistische Berichte";"Linguistische Berichte"
"0951-5666";"1435-5655";"340603";"AI & Society: The Journal of Human-Centred Systems and Machine Intelligence";"AI & Society: The Journal of Human-Centred Systems and Machine Intelligence"
"0960-7447";;"340605";"Global Ecology and Biogeography";"Global Ecology and Biogeography"
"0171-5216";"1432-1335";"340606";"Journal of Cancer Research and Clinical Oncology";"Journal of Cancer Research and Clinical Oncology"
"0029-2265";;"340607";"Norsk VVS";"Norsk VVS"
"0003-2697";"1096-0309";"340609";"Analytical Biochemistry";"Analytical Biochemistry"
"0301-0066";"1468-4233";"340610";"Perception";"Perception"
"0363-0129";"1095-7138";"340612";"SIAM Journal of Control and Optimization";"SIAM Journal of Control and Optimization"
"0332-6292";;"340617";"Norsk fiskerinæring";"Norsk fiskerinæring"
"0950-2386";"1466-4348";"340618";"Cultural Studies";"Cultural Studies"
"0952-5041";"1479-6813";"340619";"Journal of Molecular Endocrinology";"Journal of Molecular Endocrinology"
