"alias";"original tittel"
"Dronning Mauds Minne Høgskole";"DMMH's publikasjonsserie"
"Dronning Mauds Minne Høgskole for barnehagelærerutdanning";"DMMH's publikasjonsserie"
"Dronning Mauds Minne Høgskole for Barnehagelærerutdanning";"DMMH's publikasjonsserie"
"MF Norwegian School of Theology";"MF"
"MF Norwegian School of Theology, Religion and Society";"MF"
"Journal of Clinical Nursing";"Journal of Clinical Nursing (JCN)"
"International Journal of Social Research Methodology";"International Journal of Social Research Methodology: Theory and Practice"
"Health & Social Care in the Community";"Health and Social Care in the Community"
"FiskeribladetFiskaren";"Fiskeribladet"
"Kystavisa Fiskeribladet Fiskaren AS";"Fiskeribladet"
"Fiskaren";"Fiskeribladet"
"Kystavisa Fiskeribladet Fiskaren AS";"FiskeribladetFiskaren"
"ICES marine science symposia(online)";"ICES Marine Science Symposia"
