"alias";"original tittel"
"Norges miljø- og biovitenskapelige universitet";"NMBU"
"Norges veterinærhøgskole";"NMBU"
"Norwegian University of Life Sciences, Ås";"NMBU"
"Norwegian University of Life Sciences";"NMBU"
"Institutt for jordfag, Norges landbrukshøgskole";"NMBU"
"Institutt for geologi, NLH";"NMBU"
"Institutt for jord- og vannfag";"NMBU"
"Norwegian University of Life Science, Ås";"NMBU"
"Norwegian University of Life Sciences, Ås";"NMBU"
"Norwegian University og Life Sciences, Ås";"NMBU"
"Norges landbrukshøgskole";"NMBU"
"Agricultural University of Norway, Ås";"NMBU"
"Institutt for plante- og miljøvitenskap, UMB";"NMBU"
"Norwegian University of Life Sciences, Ås, Kontoret for landbruksforskning";"NMBU"
"Norwegian University of Life Sciences, Ås / Kontoret for landbruksforskning";"NMBU"
