"alias";"original tittel"
"NTNU";"Norges teknisk-naturvitenskapelige universitet"
"Vitenskapsmuseet";"Norges teknisk-naturvitenskapelige universitet"
"Norwegian University of Science and Technology";"Norges teknisk-naturvitenskapelige universitet"
"NTNU Vitenskapsmuseet";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det humanistiske fakultet, Filosofisk institutt";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det humanistiske fakultet, Institutt for arkeologi og religionsvitenskap";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det humanistiske fakultet, Institutt for historie og klassiske fag";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det humanistiske fakultet, Institutt for kunst og medievitenskap";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det humanistiske fakultet, Institutt for moderne fremmedspråk";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det humanistiske fakultet, Institutt for musikk";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det humanistiske fakultet, Institutt for nordistikk og litteraturvitenskap";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det humanistiske fakultet, Institutt for språk og litteratur";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det humanistiske fakultet, Institutt for språk- og kommunikasjonsstudier";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det humanistiske fakultet, Institutt for tverrfaglige kulturstudier";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det medisinske fakultet, Institutt for kreftforskning og molekylær medisin";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det medisinske fakultet, Institutt for laboratoriemedisin, barne- og kvinnesykdommer";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det medisinske fakultet, Institutt for nevromedisin";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det medisinske fakultet, Institutt for samfunnsmedisin";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det medisinske fakultet, Institutt for sirkulasjon og bildediagnostikk";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Det medisinske fakultet";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for arkitektur og billedkunst, Institutt for byforming og planlegging";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for arkitektur og billedkunst";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for informasjonsteknologi, matematikk og elektroteknikk, Institutt for datateknikk og informasjonsvitenskap";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for informasjonsteknologi, matematikk og elektroteknikk, Institutt for teknisk kybernetikk";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for ingeniørvitenskap og teknologi, Institutt for bygg, anlegg og transport";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for ingeniørvitenskap og teknologi, Institutt for energi- og prosessteknikk";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for ingeniørvitenskap og teknologi, Institutt for geologi og bergteknikk";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for ingeniørvitenskap og teknologi, Institutt for konstruksjonsteknikk";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for ingeniørvitenskap og teknologi, Institutt for marin teknikk";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for naturvitenskap og teknologi, Institutt for bioteknologi";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for naturvitenskap og teknologi, Institutt for fysikk";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for naturvitenskap og teknologi, Institutt for kjemi";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for naturvitenskap og teknologi, Institutt for kjemisk prosessteknologi";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for naturvitenskap og teknologi, Institutt for materialteknologi";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse, Geografisk institutt";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse, Institutt for bevegelsesvitenskap";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse, Institutt for industriell økonomi og teknologiledelse";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse, Institutt for samfunnsøkonomi";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse, Institutt for sosialt arbeid og helsevitenskap";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse, Institutt for sosiologi og statsvitenskap";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse, Pedagogisk institutt";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse, Program for lærerutdanning";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse, Psykologisk institutt";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse, Sosialantropologisk institutt";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse";"Norges teknisk-naturvitenskapelige universitet"
"Det historisk-filosofiske fakultet";"Norges teknisk-naturvitenskapelige universitet"
"Det medisinske fakultet";"Norges teknisk-naturvitenskapelige universitet"
"Fakultet for arkitektur og billedkunst";"Norges teknisk-naturvitenskapelige universitet"
"Fakultet for informasjonsteknologi, matematikk og elektroteknikk";"Norges teknisk-naturvitenskapelige universitet"
"Fakultet for ingeniørvitenskap og teknologi";"Norges teknisk-naturvitenskapelige universitet"
"Fakultet for naturvitenskap og teknologi";"Norges teknisk-naturvitenskapelige universitet"
"Fakultet for samfunnsvitenskap og teknologiledelse";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for biologi";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for bioteknologi";"Norges teknisk-naturvitenskapelige universitet"
