Title, Handle
A reconstruction of Jostedalsbreen during the Little Ice Age (LIA), https://hdl.handle.net/11250/2836938
CryoClim glacier product documentation : CryoClim glacier sub-service by NVE, https://hdl.handle.net/11250/2988709
Algorithm Theoretical Basis Document (ATBD) for the GAO and GLO products, https://hdl.handle.net/11250/2837094
CryoClim GAO and GLO product documentation, https://hdl.handle.net/11250/2837090
Declaration of CryoClim product compliance with the GCOS climate monitoring principles for the GAO and GLO products provided by NVE, https://hdl.handle.net/11250/2837097
Glacier Area Outline (GAO) 1988-1997, https://hdl.handle.net/11250/2831057
Glacier Area Outline (GAO) 1947-1985, https://hdl.handle.net/11250/2831053
Glacier Lake Outline (GLO) 1999-2006, https://hdl.handle.net/11250/2831001
Glacier Area Outline (GAO) 1999-2006, https://hdl.handle.net/11250/2831059
Glacier Area Outline (GAO) 1895-1907, https://hdl.handle.net/11250/2831051
Glacier Lake Outline (GLO) 1988-1997, https://hdl.handle.net/11250/2830997
Glacier Lake Outline Jostedalsbreen 2016-2021, https://hdl.handle.net/11250/3001517
Glacier Area Outline 2018-2019, https://hdl.handle.net/11250/2836926
Glacier Lake Outline 2018-2019, https://hdl.handle.net/11250/2836905
Bresjøer 2018/Glacier Lake Outline (GLO), https://hdl.handle.net/11250/2828426
Bresjøer 2014/Glacier Outline (GLO), https://hdl.handle.net/11250/2828423
Glacier outlines Vestre Svartisen LIA, https://hdl.handle.net/11250/2828404
Glacier velocity data. version 1.0, https://hdl.handle.net/11250/2828418
Glacier velocity data. version 2.0, https://hdl.handle.net/11250/2828417
Glacier snowlines and snowzones 2015-2019, https://hdl.handle.net/11250/2828409
Glacier outlines Nordland 1900, https://hdl.handle.net/11250/2828334
Glacier outlines Langfjordjøkelen, https://hdl.handle.net/11250/2828394
Glacier outlines Hardangerjøkulen, https://hdl.handle.net/11250/2828313

