"alias";"original tittel"
"Nord University";"Nord universitet"
"Universitetet i Nordland";"Nord universitet"
"University of Nordland";"Nord universitet"
"Bodø Graduate School of Business";"Nord universitet"
"Handelshøgskolen i Bodø, Senter for innovasjon og bedriftsøkonomi";"Nord universitet"
"Handelshøgskolen i Bodø";"Nord universitet"
"Høgskolen i Bodø";"Nord universitet"
"Høgskolen i Nesna";"Nord universitet"
"University of Stavanger, Norway";"Universitetet i Stavanger"
"uis";"Universitetet i Stavanger"
"Stavanger: Universitetet i Stavanger, Arkeologisk museum";"Universitetet i Stavanger"
"Stavanger: Arkeologisk museum i Stavanger";"Universitetet i Stavanger"
"Stavanger: Universitetet i Stavanger";"Universitetet i Stavanger"
"Universitetet i Stavanger, Arkeologisk museum";"Universitetet i Stavanger"
"NILU";"NILU - Norsk institutt for luftforskning"
"MF Norwegian School of Theology";"MF vitenskapelig høyskole"
"MF Norwegian School of Theology, Religion and Society";"MF vitenskapelig høyskole"
"Sámi allaskuvla / Sámi University College";"Sámi allaskuvla"
"Sámi allaskuvla / Sámi University of Applied Sciences";"Sámi allaskuvla"
"Arbeidstilsynet";"STAMI - Statens arbeidsmiljøinstitutt"
"Høgskolen i Molde, Vitenskapelig høgskole i logistikk";"Høgskolen i Molde - Vitenskapelig høgskole i logistikk"
"munin";"UiT Norges arktiske universitet"
"usn";"Universitetet i Agder"
"duo";"Universitetet i Oslo"
"Directorate of fisheries";"Fiskeridirektoratet"
"KRUS";"Kriminalomsorgens høgskole og utdanningssenter KRUS"
"Kriminalomsorgens utdanningssenter";"Kriminalomsorgens høgskole og utdanningssenter KRUS"
"Kriminalomsorgens høgskole og utdanningssenter KRUS";"Kriminalomsorgens høgskole og utdanningssenter KRUS"
"Kriminalomsorgens utdanningssenter KRUS";"Kriminalomsorgens høgskole og utdanningssenter KRUS"
"Kriminalomsorgen";"Kriminalomsorgens høgskole og utdanningssenter KRUS"
"Kriminalomsorgens høgskole og utdanningssenter KRUS";"Kriminalomsorgens høgskole og utdanningssenter KRUS"
"NVE";"Norges vassdrags- og energidirektorat"
"The Oslo School of Architecture and Design";"Arkitektur- og designhøgskolen i Oslo"
"Oslo School of Architecture and Design";"Arkitektur- og designhøgskolen i Oslo"
"Høgskolen på Vestlandet";"Høgskulen på Vestlandet"
"Høgskolen på vestlandet";"Høgskulen på Vestlandet"
"Høgskulen på Vestandet";"Høgskulen på Vestlandet"
"Høgskolen på Vestandet";"Høgskulen på Vestlandet"
"Høgskulen i Sogn og Fjordane";"Høgskulen på Vestlandet"
"Høgskulen på Vestlandet, Fakultet for helse og sosialvitskap";"Høgskulen på Vestlandet"
"Høgskulen på Vestlandet, Fakultet for helse- og sosialvitenskap";"Høgskulen på Vestlandet"
"Bergen University College";"Høgskulen på Vestlandet"
"HVL, Fakultet for helse- og sosialvitenskap, Institutt for helse – og omsorgsvitenskap";"Høgskulen på Vestlandet"
"HVL, Fakultet for helse- og sosialvitenskap/Institutt for helse- og omsorgsvitenskap/Sykepleie Førde";"Høgskulen på Vestlandet"
"Høgskolen i Bergen/Bergen Univercity College";"Høgskulen på Vestlandet"
"Høgskolen i Bergen";"Høgskulen på Vestlandet"
"Høgskulen på Vestlandet, Fakultet for Økonomi og Administrasjon";"Høgskulen på Vestlandet"
"Høgskulen på Vestlandet, Fakultet for økonomi og samfunnsvitskap. Institutt for samfunnsvitskap.";"Høgskulen på Vestlandet"
"Høgskulen på Vestlandet, Fakultet for økonomi og samfunnsvitskap";"Høgskulen på Vestlandet"
"Høgskulen på Vestlandet/ Western Norway University of Applied Sciences";"Høgskulen på Vestlandet"
"Fiskeridirektoratets Havforskningsinstitutt";"Havforskningsinstituttet"
"Folkehelseinstitutet";"Folkehelseinstituttet"
"Folkehelseinstituttet, Område for helsetjeneste";"Folkehelseinstituttet"
"Folkehelseinstituttet. Område for helsetjenester";"Folkehelseinstituttet"
"Folkehelseinstituttet, Område for helsetjenester";"Folkehelseinstituttet"
"Folkehelseinstituttet, Område for smittevern, miljø og helse, Utbruddsgruppa";"Folkehelseinstituttet"
"Folkehelseinstituttet, Område for smittevern, miljø og helse";"Folkehelseinstituttet"
"Nasjonalt folkehelseinstitutt";"Folkehelseinstituttet"
"Norwegian Institute of Public Health";"Folkehelseinstituttet"
"Norsk institutt for naturforskning";"Norsk institutt for naturforskning (NINA)"
"Inland Norway University";"Høgskolen i Innlandet"
"Høgskolen i Lillehammer";"Høgskolen i Innlandet"
"Høgskolen i Innlandet - Lillehammer";"Høgskolen i Innlandet"
"Universitetet i Agder ; University of Agder";"Universitetet i Agder"
"University of Agder";"Universitetet i Agder"
"Høgskolen i Agder / Agder University College";"Universitetet i Agder"
"Høgskolen i Agder";"Universitetet i Agder"
"Universitetet i Tromsø";"UiT Norges arktiske universitet"
"UiT The Arctic University of Norway";"UiT Norges arktiske universitet"
"University of Tromsø";"UiT Norges arktiske universitet"
"University of Tromsø, Norway";"UiT Norges arktiske universitet"
"UiT Norges arktiske universitet, Handelshøgskolen";"UiT Norges arktiske universitet"
"Norsk senter for bygdeforskning";"RURALIS - Institutt for rural- og regionalforskning"
"Bygdeforskning";"RURALIS - Institutt for rural- og regionalforskning"
"Ruralis";"RURALIS - Institutt for rural- og regionalforskning"
"Chr. Michelsen Institute";"Chr. Michelsen Institutt"
"BI Norwegian Business School";"Handelshøyskolen BI"
"Handelshøyskolen BI, Centre for Monetary Economics (CME)";"Handelshøyskolen BI"
"BI Norwegian Business School, Centre for European and Asian Studies";"Handelshøyskolen BI"
"BI Norwegian Business School, Centre for Monetary Economics";"Handelshøyskolen BI"
"CCGR, BI Norwegian Business School";"Handelshøyskolen BI"
"KHiO";"Kunsthøgskolen i Oslo"
"Kunsthøgskolen i Oslo, Avdeling Design";"Kunsthøgskolen i Oslo"
"NIFU";"NIFU Nordisk institutt for studier av innovasjon, forskning og utdanning"
"Nordisk institutt for studier av innovasjon, forskning og utdanning -NIFU";"NIFU Nordisk institutt for studier av innovasjon, forskning og utdanning"
"Nofima AS";"Nofima"
"Nofima AS (tidligere Fiskeriforskning)";"Nofima"
"Norwegian Scientific Committee for Food Safety (VKM)";"Nofima"
"Norwegian Scientific Committee for Food Safety";"Nofima"
"NTNU Samfunnsforskning AS";"NTNU Samfunnsforskning"
"NIKU";"Norsk institutt for kulturminneforskning"
"Norsk Institutt for kulturminneforskning";"Norsk institutt for kulturminneforskning"
"University of South-Eastern Norway";"Universitetet i Sørøst-Norge"
"Høgskolen i Sørøst-Norge";"Universitetet i Sørøst-Norge"
"Høgskolen i Telemark";"Universitetet i Sørøst-Norge"
"Riksantikvaren. Utgravningskontoret for Trondheim";"Riksantikvaren"
"Directorate for Cultural Heritage";"Riksantikvaren"
"Directorate for Cultural Heritage ; Riksantikvaren";"Riksantikvaren"
