"PID";"Original tittel"
"FB869180-A5A0-4127-B6C2-00246DF3CBAF";"McDonald Institute"
"6CCDC65F-86CD-44C2-9521-0029D029E47F";"Financial Management Association International"
"8D01FD00-071C-450C-8B02-004BFB47F683";"European Joint Conferences on Theory and Practice of Software (ETAPS)"
"D38A4EF4-5ED3-491A-A3CD-004F4AF2566B";"BRIC - The Bergen Programme for Comparative studies on Resources, Institutions and Culture"
"507879DF-4BB8-4339-AFC6-005615E2EDD8";"Nordic nuclear safety research (NKS)"
"5B8B3EB8-213E-4EF3-89B6-005EE00E2144";"Generis Publishing"
"8907894B-5724-46B4-8505-005FA8C2DF8B";"Noroff"
"B97D353D-8ADC-4BFF-BE77-0085B982A4B2";"Boksmia"
"605E36A7-6D28-44D8-A03A-0087E9E1A4CD";"https://pov.international/"
"F4B5237F-E178-4E93-92EA-008BD8D330A4";"Ege Yayinlari"
"D635447C-31B0-494F-B0A3-0099321874DE";"Didaktika Norsk Forlag"
"A249C7E3-141C-40B9-8530-00A13CCFDFF0";"The Society of Digital Information and Wireless Communications (SDIWC)"
"78810450-2939-481E-8E66-00B4D8FD2EBA";"University of Laguna"
"1C061346-DF60-4358-8766-00B6C0B7CA3D";"Fudan University Press"
"2532B2A3-177D-49FC-BA16-00B8176E2A66";"Munshiram Manoharlal"
"9FD256DC-8ED9-45EC-AAC6-00BC76103BBD";"ViaSystime"
"8CA0F0FE-86C3-4427-9F89-00C338AF504D";"Lived Places Publishing"
"66681EEE-2A5D-46A9-BF47-00C43DB37861";"Brill | mentis"
"551F321B-D75A-4A76-AD7F-00E0FA1C907A";"European Geosciences Union (EGU)"
"5070AEF0-3449-4869-94CD-00F902A08A7D";"University of Louisville"
"34A05B37-65EA-4027-8DBD-01174C15CEDA";"Minerals, Metals & Materials Society"
"DFF384CC-E53C-4D91-B5DC-0145ACF4974B";"School of International Studies"
"7FEE76FD-2E4F-4871-A495-01473365632D";"McGraw-Hill"
"EE0EE759-9B68-4B2E-94EF-018094EC16D5";"Watson Publishing International"
"1CCDEBD2-942F-458F-9561-0180D3A0D017";"Clueb"
"6A0109B8-476D-4CBB-A42B-0187EF225778";"Publicacions de l’Abadia de Montserrat"
"4B7880A3-545F-4C2A-BDF2-01A3F10AEED8";"Lannoo Publishing Group"
"91E35397-D625-4576-A7E4-01B3E3C4AED1";"Heinemann"
"2EEFFFE3-5AB7-481C-B8B0-01C4F18817C8";"Izdatelstvo Petrozavodskogo Gosudarstvennogo Universiteta"
"745C30AC-24BD-4986-A4E7-021870C00C96";"Institut für deutsche Sprache (= amades)"
"1F321A03-CAF5-440C-AED0-021C43579E90";"GLEAN"
"7091B679-7E98-4315-930C-022CE0D80BB9";"Punctum Books"
"872996FA-8581-4FB3-A39B-02462155E2C6";"Taru Publications"
"BFC0D34E-C486-4389-9562-0256B0804833";"International Institute for Tibetan and Buddhist Studies GmbH"
"E258BEDB-5B18-439F-B8F5-02578BABCF7E";"wbv Media GmbH & Co.KG"
"C9C57748-3ABC-4AEB-82F2-0259D1B8448D";"Bændabladid"
"DA95579E-3162-4072-8B87-026779EFEF02";"International Association of Engineers"
"2C5F8837-D7B4-4904-AF83-027BAB06DE79";"Kunstakademiets Arkitektskoles Forlag"
"3B7FA5E7-DD60-437E-A395-0287C1D9344F";"International Food Policy Research Institute"
"5ACB6169-9F06-4AF2-9669-028B3CF46524";"Universidad de Deusto - Dpto. de Publicaciones"
"EC67275C-7D2E-4FFF-B5AA-02B361B61839";"Institute for the Study of Human Rights"
"8519D980-C96B-4EF8-AA2A-02E5C61D239A";"Intervention Press"
"816AC546-C899-4371-A4B3-02E64EFAE44E";"Freund Publishing House, Ltd."
"57BB1E7A-0F65-4150-9FC8-02EC065D533F";"mundoagropecuario"
"C0E4B904-50EF-4208-AEF1-02EE346EA55E";"Morgan Kaufmann Publishers"
"461EFAAB-F822-41C9-BFCD-02F33939D1CF";"De Luca"
"A3396580-89A0-47FE-9F49-0306E40CF135";"International Society for the Study of Argumentation"
"4932FFEF-620A-4ACF-B8AE-031D2DA9AAEF";"New Mandala"
"03D8908F-E335-4D7D-8330-03253CD7706A";"Canadian Human-Computer Communications Society"
"8DE3CC25-F19B-4E10-BEAB-032D7D807E7A";"CID, Podgorica, Montenegro"
"8481EB38-AFC6-4CC7-A47E-03308D0E97B8";"Merve Verlag"
"2A75120E-B7FC-4D69-9692-0334F910234E";"European University at St. Petersburg"
"73F35FA3-0EB5-452F-A5A9-033FC52F8311";"University of Notre Dame Press"
"8BBBA820-DCCD-4C88-B37E-034D2C8D24E6";"Paradigm Publishers"
"75E88E64-9581-4E1B-8EAB-036808C9E7E7";"Dietrich Reimer Verlag"
"C3493A39-32B6-4671-BA41-037226F9D9DB";"Berufsgenossenschaftlichen Institut für Arbeitsschutz"
"A9840360-74BD-43DF-BD18-037DFA32EA16";"Minard"
"98AC116B-6D91-4128-BB9F-037EF93479BB";"Verso"
"F3B8C3DF-0A39-4400-B507-0384FE81BE86";"Norsk Treteknisk Institutt"
"81AF8526-97F9-4A6E-A8E5-039959A1B462";"Les Herbes rouges"
"EA645C36-4150-45D9-9BE2-039A58230D1E";"Institution of Structural Engineers"
"D5716943-974A-4770-A54D-03B335FED46B";"Sciyo"
"C1B7CB94-3CF6-4A1B-B9F7-03CD9E70168B";"Pirforlaget AS"
"1EF66FA5-09A3-4997-A842-03F68458EDDF";"Editorial de la Universidad de Costa Rica"
"3143B887-C668-4A4D-A96D-03F70A5E775D";"University of Otago Press"
"BFEA2456-8914-4FCC-84C3-04009F783750";"IDEA Publications"
"7F09C888-4247-478E-8672-04052F53AC4B";"Eurographics - European Association for Computer Graphics"
"273FCA2D-C75D-49A3-9EE1-040C23872790";"Mesogea"
"C811278B-3459-4C66-80F8-040FFD205639";"European Association for Signal and Image Processing"
"7471A7DA-454D-43A7-89E4-04273B89075D";"Book Publisher International"
"D30AA6F5-035A-4AA1-ABF2-0433D96ED917";"Instituto Camões"
"AAE87B1C-9DA4-429C-9676-044153C25C77";"Texas Tech University Press"
"000494D3-2980-4F42-AFF4-044230903883";"University of the Witwatersrand"
"E9C5E0CC-1E3E-4159-8671-0442510907AE";"Publications du CRAHM"
"31603B89-B0F9-4B70-BC07-0457C3C25576";"Dechema"
"165478F9-6C11-495C-962A-045890EDE54C";"Association for Symbolic Logic"
"C0B49383-F8FA-4A89-8D2A-04946B614CEC";"Vanden Broele Publishers"
"E64475F4-3D07-4C35-AFC1-04AB2737ADEF";"IJ-forlaget"
"369DDA02-E1F0-449F-A593-04B2CBF2A649";"Gabler Verlag"
"5E1AA21C-7958-4ACE-A812-04B8BFAD131F";"Jones and Bartlett Publishers"
"BE10D157-0A5B-4D33-94AC-04C2987822E6";"International Symposium on Fruit Production Systems for Sustainable and Resilient  Development. European Horticulture Congress"
"06ED13BC-D6A1-410E-985E-04C304F689F5";"Saarbrücker Schriften zu Linguistik und Fremdsprachendidaktik"
"4A5A8840-4050-44D1-B8FC-04C3F92E1A0A";"Nansen Senter for Miljø og Fjernmåling (NERSC)"
"0200D8E4-38FB-4330-B4C9-04CA50787128";"RightNow!"
"B29ACE77-A026-4D46-A200-04FABFAB34FF";"FLACSO Sede Guatemala"
"694BBEA8-29BD-42FB-958C-050E738CFAA6";"SEBU Forlag"
"CC1B4B8B-77E6-49A3-9667-052BECC87E00";"Staatliche Museen zu Berlin"
"997FA270-327C-4218-91C9-053F56AD4844";"Living Architecture Publishing"
"846C44C5-0036-41BF-B566-054FD8115C3D";"Reformation Heritage Books"
"58A69F89-D7F9-48BE-9023-0550AF7A72C1";"University of New South Wales Press"
"C4D2E16A-EF75-4F98-9845-055587CFD316";"Instituto Geológico y Minero de Espana"
"FFFB8FDF-352B-4889-A3AC-0555DEF38A30";"St. Johns Lake Academic Press"
"1ECC9EA9-7014-42C3-8E66-057993697D2E";"Palatina Verlag"
"BF284E26-4339-4945-BFD1-058D5120C1E2";"IFAC Papers Online"
"9C43A09B-4C21-4201-89E7-05918DB2F0F1";"The Herpetologists' League"
"34BC65C8-D5CD-47E5-8812-05AA3E2C613B";"1956-os Intézet"
"239F1C9D-8585-4961-B96A-05B4CEBCAF6B";"Oxford University Press"
"BA8D5137-5DFE-4081-B59B-05BF779E43A2";"Vrakmagasinet"
"D6DBF1EC-8E88-44C9-84EE-05D1B16B2E36";"Ediciones Universidad de Salamanca"
"E8818A72-8446-4DE7-894E-05D1F882EE04";"Pulp and Paper Technical Association of Canada"
"F5902664-FEE4-49FC-9B43-05DC7B134B35";"Herder Institut"
"9B9ABADA-5EE9-497B-9606-05F7A04A67B4";"Paul Åström forlag"
"A9F4A642-E2BF-47EF-8567-05F871E02173";"British Arachnological Society"
"1798CB80-2981-4670-BA36-06132903DD06";"The Yolanda and David Katz Faculty of Arts"
"FD45FE11-54EF-42A2-9DE9-0613551EFB49";"Kyoto University Press"
"FF20DB1B-CFDC-4EB2-A157-0631DA69E36E";"Waxmann Verlag"
"5B82AF11-6BA5-43A1-BF22-0635061C31E8";"Southern Methodist University Press"
"BD9283E7-610F-4E19-BAD2-063CFB333459";"Economica"
"76AFA4DE-1A1D-4813-A836-063D145215C5";"Minnesota Historical Society Press"
"169D441F-3802-4666-A626-06897FAD9A06";"EKOPRES, Zrenjanin"
"8DE70F37-7D1B-40B8-B948-0698A71BF62C";"Navigation News"
"00281626-DDD7-4284-868B-069C8C8F243F";"Global Academic Publishing"
"1D2DC73A-A0B0-40E2-AF1E-06A9DE959BDB";"The Genetics Society"
"59835279-A46F-4418-973D-06AF11BA7C64";"C.A.Reitzel"
"12A97E98-3FF7-48C0-996D-06BCA0D4FFEB";"Erlanger Verlag für Mission und Ökumene"
"C9D55C7A-ACF0-4EBA-8385-06EA114842E0";"Akashi Shoten Co. Ltd."
