"Forlag id";"Original tittel";"Internasjonal tittel";"ISBN-prefix"
"4813";"Universitetet i Bergen";"University of Bergen";
"4842";"Uppsala universitet";"Uppsala University";"978-91-554"
"4860";"Göteborgs universitet";"University of Gothenburg";"978-91-85974"
"4891";"Biologisk institutt";"Department of Biology";
"5269";"Riksarkivet";"National Archives of Norway";"978-82-7061"
"5431";"Institutt for fredsforskning";"International Peace Research Institute, Oslo";
"5497";"Vestlandsforsking";"Western Norway Research Foundation";
"5617";"Rikstrygdeverket";"National Insurance Administration";"978-82-551"
"5658";"Direktoratet for utviklingshjelp - NORAD";"Norwegian Agency for Development Cooperation";
"5795";"Swedish Agency for International Development Cooperation (SIDA)";"Swedish International Development Authority";
"5821";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations FAO Seed Service";
"5911";"World Bank";"World Bank";"978-0-8213"
"5957";"International Centre for Ethnic Studies";"International Centre for Ethnic Studies";
"6314";"ATEE - Association for Teacher Education in Europe";"ATEE - Association for Teacher Education in Europe";
"6326";"Institutt for energiteknikk";"Institute for Energy Technology";
"6435";"Riksantikvarieämbetet";"Riksantikvarieämbetet";
"6494";"Cappelen forlag";"Cappelen forlag";
"6502";"Helsingfors universitet";"University of Helsinki";"978-952-10"
"6557";"University of Oulu";"University of Oulu";"978-951-42"
"6571";"Gyldendal Norsk Forlag A/S";"Gyldendal Norsk Forlag A/S";"978-82-05"
"6629";"Munch-museet";"Munch-museet";"978-82-90128"
"6696";"University of Lancaster";"University of Lancaster";
"6717";"Random House, Inc.";"Random House, Inc.";
"6999";"Avd. for molekylær cellebiologi";"Avd. for molekylær cellebiologi";
"7091";"Norges forskningsråd";"Research Council of Norway";
"7355";"University of Hertfordshire";"University of Hertfordshire";"978-1-907396"
"7367";"Stiftelsen Kirkeforskning";"Stiftelsen Kirkeforskning";
"7605";"Høgskolen i Hedmark";"Hedmark College";
"7986";"Politechnika Gdanska";"Technical University of Gdansk";"978-83-88579"
"8006";"Warsaw University of Technology";"Warsaw University of Technology";
"8014";"Technical University of Lodz";"Technical University of Lodz";
"8112";"Nordisk Institut for Asienstudier (NIAS)";"Nordic Institute of Asian Studies";
"8144";"University of Tartu";"University of Tartu";"978-9985"
"8522";"Sveriges Lantbruksuniversitet";"Sveriges Lantbruksuniversitet";
"8601";"Institut for Samfundsudvikling og Planlægning";"Institut for Samfundsudvikling og Planlægning";
"11727";"Forlaget Vett & Viten AS";"Forlaget Vett & Viten AS";"978-82-412"
"12547";"University of Montenegro";"University of Montenegro";
"12558";"Helgeland Historielag";"Helgeland Historielag";
"12566";"Systime Academic";"Systime Academic";"978-87-616"
"12593";"Ernst Reinhardt Verlag  GmbH & Co KG";"Ernst Reinhardt Verlag  GmbH & Co KG";
"12605";"Clarendon Press";"Clarendon Press";
"12614";"University Press Limited";"University Press Limited";
"12615";"Luleå tekniska universitet";"Luleå tekniska universitet";"978-91-976047"
"12641";"Baywood Publishing Company, Inc.";"Baywood Publishing Company, Inc.";
"12646";"Det Kongelige Norske Videnskabers Selskab";"Det Kongelige Norske Videnskabers Selskab";
"12652";"Human Kinetics";"Human Kinetics";"978-1-4504, 978-82-1000"
"12667";"Fellesrådet for Afrika";"Fellesrådet for Afrika";
"12675";"École Polytechnique Fédérale de Lausanne";"École Polytechnique Fédérale de Lausanne";
"12677";"Addis Ababa University Press";"Addis Ababa University Press";"978-0-7658"
"12682";"Háskólaútgáfan";"Háskólaútgáfan";"978-9979-54"
"12697";"IKO-forlaget A/S";"IKO-forlaget A/S";
"12698";"Dialogos Förlag";"Dialogos Förlag";
"12699";"Gothia Förlag AB";"Gothia Förlag AB";
"12713";"Humanist Forlag";"Humanist Forlag";"978-82-82820"
"12717";"Andresen & Butenschøn AS";"Andresen & Butenschøn AS";
"12778";"Nova Science Publishers";"Nova Science Publishers";"978-1-53618, 978-1-59033, 978-1-68507"
"12795";"Edition text+kritik (et+k)";"Edition text+kritik (et+k)";"978-3-86916, 978-3-88377"
"12819";"Norstedts Förlag";"Norstedts Förlag";
"12823";"Bonnier";"Bonnier";
"12824";"Helsinki University Press (HUP)";"Helsinki University Press (HUP)";"978-952-369"
"12841";"Allen & Unwin";"Allen & Unwin";"978-1-74175, 978-1-74237, 978-1-86448, 978-1-96448"
"12853";"Gyldendal Undervisning";"Gyldendal Undervisning";"978-82-05"
"12858";"University of Iceland Press";"University of Iceland Press";"978-9979-54"
"12861";"International Bureau of Fiscal Documentation (IBFD)";"International Bureau of Fiscal Documentation (IBFD)";
"12867";"Sociology Press";"Sociology Press";
"12895";"Emilia Press AS";"Emilia Press AS";"978-82-7419"
"12897";"Davvi Girji";"Davvi Girji";"978-82-7374"
"12901";"J.W. Cappelens Forlag AS";"J.W. Cappelens Forlag AS";
"12911";"Gleerups Utbildning AB";"Gleerups Utbildning AB";
"12927";"Bedriftsøkonomens Forlag";"Bedriftsøkonomens Forlag";
"12929";"Hungarian Academy of Sciences";"Hungarian Academy of Sciences";"978-963-9074"
"12933";"Universidad Nacional Autónoma de México (UNAM)";"Universidad Nacional Autónoma de México (UNAM)";"978-970-32"
"12935";"HLS Förlag";"HLS Förlag";"978-91-7656"
"12976";"Högskolan i Kalmar";"Högskolan i Kalmar";
"13000";"Intervention Press";"Intervention Press";"978-87-89825"
"13001";"Hokkaido University Press";"Hokkaido University Press";
"13006";"Gidlunds förlag";"Gidlunds förlag";"978-91-7844"
"13008";"Manohar Publishers & Distributors";"Manohar Publishers & Distributors";"978-81-7304"
"13020";"Tell Forlag";"Tell Forlag";"978-82-7522"
"13021";"Gummerus Kirjapaino Oy";"Gummerus Kirjapaino Oy";"978-951-20"
"13024";"Dreyer Forlag A/S";"Dreyer Forlag A/S";
"13046";"Presses de l'Université Paris-Sorbonne";"Presses de l'Université Paris-Sorbonne";"978-2-84050"
"13072";"Gordon and Breach Publishers";"Gordon and Breach Publishers";
"13083";"Kungl. Vitterhets Historie och Antikvitets Akademien";"Kungl. Vitterhets Historie och Antikvitets Akademien";"978-91-7402"
"13091";"Manchester University Press";"Manchester University Press";"978-0-7190"
"13106";"WSOY";"WSOY";"978-951-0"
"13111";"Charles Scribner's Sons";"Charles Scribner's Sons";
"13127";"Schmidt-Römhild";"Schmidt-Römhild";
"13129";"Jagiellonian University Press";"Jagiellonian University Press";
"13141";"Studentlitteratur AB";"Studentlitteratur AB";"978-91-44"
"13142";"Dr. Ludwig Reichert Verlag";"Dr. Ludwig Reichert Verlag";"978-3-89500, 978-3-954"
"13150";"World Scientific";"World Scientific";"978-1-80061, 978-981-4329"
"13166";"System Dynamics Society";"System Dynamics Society";"978-0-9745329"
"13183";"Geografisk institutt";"Department of Geography, Norwegian University of Science and Technology";
"13188";"Artos & Norma bokförlag";"Artos & Norma bokförlag";"978-91-7580"
"13199";"Economica";"Economica";"978-2-7178"
"13214";"Sjørettsfondet";"Sjørettsfondet";
"13218";"Forlaget ANIS";"Forlaget ANIS";"978-87-7457"
